header,description,platforms
ProcessAncestryInformation,"The ProcessAncestryInformation event captures unique process lineage chains (process, parent, grandparent, and great-grandparent) that haven't been observed recently on the host, and won't be generated for repetitious executions. This experimental event helps identify anomalous process execution patterns that may indicate suspicious activity or novel attack techniques, and is subject to change in future releases.","macOS, Linux, Falcon Container, Windows"
ProcessBlocked,This event is generated when a process is blocked based on a prevention policy. Platforms: Windows Legacy,"Windows, Linux, Falcon Container, macOS"
ProcessControl,,"Linux, Falcon Container"
ProcessDataUsage,Measurements and statistics of data traffic sent and received to/from the target process.,Forensics
ProcessEnvironmentEmpty,,Linux
ProcessExecOnPackedExecutable,An event that contains telemetry data emitted on execution of a PE file which is known to be packed. The packer type is indicated by the FileSubType field.,Windows
ProcessExecOnRDPFile,A PE file was written and executed from an RDP session.,Windows
ProcessExecOnSMBFile,An event that contains telemetry data emitted on execution of a PE file which was written by SMB.,Windows
ProcessExecOnWinRMFile,,Windows
ProcessHandleOpDetectInfo,An event that describes the operation on a Process handle that triggered a detection.,Windows
ProcessHandleOpDowngraded,An event that describes the operation on a Process handle where the AccessMask was downgraded.,Windows
ProcessHandleTableEntry,An entry in a process handle table referencing a kernel object.,Forensics
ProcessInjection,An event that indicates that a remote process wrote and executed code.,Windows
ProcessOpenedFileDescriptor,,Forensics
ProcessPatternTelemetry,Platforms: Windows,"Linux, macOS"
ProcessRollup,An event that contains information from several sources and combines it into one event. The event describes a process which is running or has previously run on the host. The functionality of this event has been replaced by ProcessRollup2.,Windows
ProcessRollup2,"This event (often called ""PR2"" for short) is generated for a process that is running or has finished running on a host and contains information about that process. For every ProcessRollup2 event, there is a corresponding event that is generated when a process completes. The name of this event is EndOfProcess for Windows and Mac and TerminateProcess for Linux. Important: This event is generated on Windows, Mac, and Linux sensors. However, because of the way Mac and Linux manage processes at the kernel level, the Falcon sensors for these platforms are configured to send ProcessRollup2information in a second event called ProcessRollup2Stats. For more information, see ProcessRollup2Stats. Every ProcessRollup2 event contains a field called TargetProcessId. This ID is generated internally by the sensor, and will be unique for every instance of a process. For example, if you run cmd.exe twice, you will see two different ProcessRollup2 events with two unique values for TargetProcessId. This ID should not be confused with the host operating system PID for the process, which will be a different value. Processes often generate multiple, if not dozens of related events. For example, opening a browser or running an executable can generate network connectivity events, temporary file write events, DNS request events. We therefore need a way to understand the parent-child relationship between processes and the events they generate. Every event that is generated by a ProcessRollup2 contains a data field called ContextProcessId. The ContextProcessId will match the TargetProcessId of its parent ProcessRollup2 event. In the example below, the ContextProcessId values indicate that each of the events are children of the parent ProcessRollup2events. By searching for events that have matching values for ContextProcessId and TargetProcessId, you can see a list of all events that were generated as a result of a ProcessRollup2 event. As previously mentioned, every process that executes on a host has a corresponding ProcessRollup2 event. This means that when a process spawns another process, a brand new ProcessRollup2 event will be generated for that new ProcessRollup2event. This new event will contain a field called ParentProcessId. The ParentProcessId of the child PR2 will match the TargetProcessId of the parent PR2, as shown below : By searching for events that have matching values for ParentProcessId and TargetProcessId, you can determine the parent-child relationship of multiple ProcessRollup2 events. Platforms: macOS This event (often called ""PR2"" for short) is generated for a process that is running or has finished running on a host and contains information about that process. For every ProcessRollup2 event, there is a corresponding event that is generated when a process completes. The name of this event is EndOfProcess for Windows and Mac and TerminateProcess for Linux. Important: This event is generated on Windows, Mac, and Linux sensors. However, because of the way Mac and Linux manage processes at the kernel level, the Falcon sensors for these platforms are configured to send ProcessRollup2information in a second event called ProcessRollup2Stats. For more information, see ProcessRollup2Stats. Every ProcessRollup2 event contains a field called TargetProcessId. This ID is generated internally by the sensor, and will be unique for every instance of a process. For example, if you run cmd.exe twice, you will see two different ProcessRollup2 events with two unique values for TargetProcessId. This ID should not be confused with the host operating system PID for the process, which will be a different value. Processes often generate multiple, if not dozens of related events. For example, opening a browser or running an executable can generate network connectivity events, temporary file write events, DNS request events, etc. We therefore need a way to understand the parent-child relationship between processes and the events they generate. Every event that is generated by a ProcessRollup2 contains a data field called ContextProcessId. The ContextProcessId will match the TargetProcessId of its parent ProcessRollup2 event. In the example below, the ContextProcessId values indicate that each of the events are children of the parent ProcessRollup2events. By searching for events that have matching values for ContextProcessId and TargetProcessId, you can see a list of all events that were generated as a result of a ProcessRollup2 event. As previously mentioned, every process that executes on a host has a corresponding ProcessRollup2 event. This means that when a process spawns another process, a brand new ProcessRollup2 event will be generated for that new ProcessRollup2event. This new event will contain a field called ParentProcessId. The ParentProcessId of the child PR2 will match the TargetProcessId of the parent PR2, as shown below : By searching for events that have matching values for ParentProcessId and TargetProcessId, you can determine the parent-child relationship of multiple ProcessRollup2 events. Platforms: Forensics, Windows Legacy, ChromeOS Platforms: Linux, Falcon Container, Android This event (often called ""PR2"" for short) is generated for a process that is running or has finished running on a host and contains information about that process. For every ProcessRollup2 event, there is a corresponding event that is generated when a process completes. The name of this event is EndOfProcess for Windows and Mac and TerminateProcess for Linux. Important: This event is generated on Windows, Mac, and Linux sensors. However, because of the way Mac and Linux manage processes at the kernel level, the Falcon sensors for these platforms are configured to send ProcessRollup2information in a second event called ProcessRollup2Stats. For more information, see ProcessRollup2Stats.",Windows
ProcessRollup2Stats,"Important: This event is generated on Mac and Linux Sensors only. The Falcon sensor for Windows only generates ProcessRollup2 events. When a process finishes running, the sensor generates and sends a ProcessRollup2 event. Mac sensors send far more ProcessRollup2 events than Windows (roughly 20x as many), so rather than send events for every process on those hosts, the sensor sends an initial ProcessRollup2 event, followed 10 minutes later by a ProcessRollup2Stats event with a SHA256 hash and the count of how many times the hash executed in the last 10 minutes. Platforms: Linux, Falcon Container Important: This event is generated on Mac and Linux Sensors only. The Falcon sensor for Windows only generates ProcessRollup2 events. When a process finishes running, the sensor generates and sends a ProcessRollup2 event. Linux sensors send far more ProcessRollup2 events than Windows (roughly 20x as many), so rather than send events for every process on those hosts, the sensor sends an initial ProcessRollup2 event, followed 60 minutes later by a ProcessRollup2Stats event with a SHA256 hash and the count of how many times the hash executed in the last 60 minutes.",macOS
ProcessSelfDeleted,"This event indicates when a process self-delete situation is detected. It will be thrown when a process deletes a file that was previously loaded as the primary module in an ancestor process. If the self-delete was accomplished via injecting into an already running process, ContextProcessId will be the injector as well.","macOS, Windows, Linux"
ProcessSessionCreated,,"Linux, Falcon Container"
ProcessSignal,,Linux
ProcessState,Running process observed at collection time.,Forensics
ProcessSubstituteUser,,macOS
ProcessTokenPrivilegesEdited,,Windows
ProcessTokenStolen,An event that describes a process token stealing detection. ContextProcessId has been detected stealing the token of TargetProcessId.,Windows
ProcessTrace,,"Linux, Falcon Container"
ProcessTreeCompositionPatternTelemetry,,Windows
ProcessWitness,"Emitted when the sensor witnesses a process is running. This event is not an indication that a process just started, only that the process was first seen running when the event was sent. It is used for iOS where there is no way to be notified of processes start or running, or to query about running processes, and the sensor only knows a process exists when it makes a network connection. This event is therefore different from PR2s or SynPR2s.",iOS
PromiscuousBindIP4,This is a reified NetworkBindIP4 indicating a socket is in promiscuous mode.,Windows
PromiscuousBindIP6,,Windows
ProtectVmEtw,A virtual memory protect event generated from ETW data.,Windows
ProvisioningChannelVersionRequired,"This event informs the cloud about the state of a channel on the sensor during provisioning. It is only sent when the sensor is in an unprovisioned state. Platforms: Android, iOS","Windows, Linux, Falcon Container, macOS"
ProvisioningEnded,Sent when provisioning is completed.,Windows
ProvisioningStarted,Sent when sensor begins provisioning.,Windows
ProvisioningStatusUpdate,Sent every 2 minutes during provisioning.,Windows
PtActivationStatus,Reports host's compatibility with the Processor Trace feature.,Windows
PtTelemetry,,Windows
PtyAttached,,Linux
PtyCreated,An event that notifies that a pty has been created.,macOS
PtyDetached,,Linux
PythonFileWritten,,Windows
QuarantineActionResult,This event reports the result of a file quarantine triggered by Falcon Prevent.,"Linux, macOS, Windows"
QuarantinedFile,This event is generated when a file is quarantined by Falcon Prevent.,"macOS, Linux, Windows"
QuarantinedFileState,This event reports the state of a file quarantined by Falcon Prevent.,"macOS, Linux, Windows"
QuarantineXattribute,,Forensics
QueueApcEtw,,Windows
QuickAssistCookieInfo,,Forensics
QuickAssistDownloadEnded,,Forensics
QuickAssistDownloadStarted,,Forensics
QuickAssistHistoryVisit,,Forensics
RansomwareCreateFile,A reified LocalFsPostCreate event so the cloud can route these events for ransomware support.,Windows
RansomwareFileAccessPattern,Helper event for ransomware file access patterns.,Windows
RansomwareOpenFile,A reified LocalFsPostCreate event so the cloud can route these events for ransomware support.,Windows
RansomwareRenameFile,A reified LocalFsPostRename event so the cloud can route these events for ransomware support.,Windows
RarFileWritten,Emitted when a process is done writing a RAR file.,"Windows, Linux, macOS"
RawBindIP4,"An event that is created when an application using a connection-oriented or connectionless protocol causes a port resource assignment to a socket through a call to bind(). It is a more specific version of the event NetworkBindIP4 indicating a socket is in raw mode. IPv4 is the source of the connection/connectionless protocol in this event. A NetworkBindIP4 event is created whenever an application using a connection-oriented or connectionless protocol causes a port resource assignment to a socket through a call to bind(). The event's ConnectionFlags field describes the parameters of that bind operation. A socket that is bound has not performed any network activity per se. Only a subsequent call to listen() or connect() generates network activity through the bound socket. The attributes of the bind, such as promiscuous mode or raw socket, are available in the ConnectionFlags field. Platforms: Forensics IPv4 network binding event. Terminating socket is in raw mode.","Windows, Android, Linux, Falcon Container, macOS"
RawBindIP6,"An event that is created when an application using a connection-oriented or connectionless protocol causes a port resource assignment to a socket through a call to bind(). It is a more specific version of the event NetworkBindIP6 indicating a socket is in raw mode. IPv6 is the source of the connection/connectionless protocol in this event. A NetworkBindIP6 event is created whenever an application using a connection-oriented or connectionless protocol causes a port resource assignment to a socket through a call to bind(). The event's ConnectionFlags field describes the parameters of that bind operation. A socket that is bound has not performed any network activity per se. Only a subsequent call to listen() or connect() generates network activity through the bound socket. The attributes of the bind, such as promiscuous mode or raw socket, are available in the ConnectionFlags field. Platforms: Forensics IPv6 network binding event. Terminating socket is in raw mode.","Linux, Falcon Container, Android, macOS, Windows"
RecentExecutionTimestamp,Recent execution timestamp from a Forensics artifact.,Forensics
RecentlyModifiedFileExecutedInContainer,Emitted by the Falcon sensor for Linux when: A new or modified binary executable is run in a container. A new or modified script is run in a container. Emitted by the Falcon Container sensor for Linux when: A new or modified binary executable is run in a container.,"Linux, Falcon Container"
RecoveryActionDeleteFilesComplete,,"Linux, Falcon Container, Kubernetes, macOS, Windows"
RecoveryActionDeleteFilesReply,,"macOS, Linux, Falcon Container, Kubernetes, Windows"
RecoveryActionGetModuleTableRecordComplete,,"macOS, Windows, Linux, Falcon Container"
RecoveryActionGetRuntimeSystemTagsComplete,,"macOS, Windows, Linux, Falcon Container"
RecoveryActionGetSystemTagsComplete,,"macOS, Linux, Falcon Container, Windows, Kubernetes"
RecoveryActionKillProcessesComplete,,"macOS, Linux, Falcon Container, Kubernetes, Windows"
RecoveryActionKillProcessesReply,,"Kubernetes, Linux, Falcon Container, macOS, Windows"
RecoveryActionManipulateModuleTableComplete,,"Windows, Linux, Falcon Container, macOS"
RecoveryActionRegistryCreateKeyComplete,,Windows
RecoveryActionRegistryCreateKeyReply,,Windows
RecoveryActionRegistryDeleteKeyComplete,,Windows
RecoveryActionRegistryDeleteKeyReply,,Windows
RecoveryActionRegistryDeleteValueKeyComplete,,Windows
RecoveryActionRegistryDeleteValueKeyReply,,Windows
RecoveryActionRegistrySetValueKeyComplete,,Windows
RecoveryActionRegistrySetValueKeyReply,,Windows
RecoveryActionSetRuntimeSystemTagsComplete,,"macOS, Linux, Falcon Container, Windows"
RecoveryActionSetSystemTagsComplete,,"Linux, Falcon Container, macOS, Kubernetes, Windows"
ReflectiveDllLoaded,An event that indicates that a user space thread reflectively loaded DLL.,Windows
ReflectiveDllOpenProcess,A userspace thread attempted to open a process which appeared to originate from a reflectively loaded DLL.,Windows
ReflectiveDotnetModuleLoad,Event generated when .NET module is reflectively (e.g. from a byte array) loaded in a process.,Windows
RegCredAccessDetectInfo,,Windows
RegCrowdstrikeKeyUpdate,,Windows
RegCrowdstrikeValueUpdate,,Windows
RegFeatureUsageInfo,,Forensics
RegGenericInfo,Registry entry generic information.,Forensics
RegGenericKeyUpdate,,Windows
RegGenericValueUpdate,An event that indicates that a registry value has been updated.,Windows
RegisterRawInputDevicesEtw,An event that indicates that an application called the RegisterRawInputDevices API. Captured using the ETW consumer.,Windows
RegistryHiveFileWritten,,Windows
RegistryOperationBlocked,An event that indicates that a registry operation has been blocked using a callback filter.,Windows
RegistryOperationDetectInfo,An event that describes a registry operation blocked using a callback filter.,Windows
RegKeySecurityDecreasedFromUnsignedModule,This event contains information about a protected registry security object whose security was decreased. It combines relevant information from the RegKeySecurityDecreased and SignInfoWithCertAndContext events.,Windows
RegNtPostOpenKeyEx,Registry post open key operation event.,Windows
RegNtPostOpenKeyExUpImpersonating,"A reified RegNtPostOpenKeyEx event that occurred in the context of a thread up-impersonating another user, and the context process was not a privileged account.",Windows
RegShimCache,Shim cache registry entry.,Forensics
RegSystemConfigKeyUpdate,,Windows
RegSystemConfigValueUpdate,An event that indicates that a registry value related to system configuration or security has been updated.,Windows
RegValueQueryDetectInfo,,Windows
RemediationActionKillIP4Connection,Sensor attempted to kill a connection to a malicious IPv4 address. No further data will be sent or received on the connection.,"iOS, Android"
RemediationActionKillIP6Connection,Sensor attempted to kill a connection to a malicious IPv6 address. No further data will be sent or received on the connection.,"iOS, Android"
RemediationActionKillProcess,"Notification of a kill process remediation action attempted by the sensor. Platforms: macOS, Windows Legacy, Linux",Windows
RemediationActionQuarantineFile,Notification of a quarantine file remediation action attempted by the sensor.,Windows
RemediationActionQuarantineMacroFile,,Windows
RemediationActionQuarantineOfficeMacroFile,,Windows
RemediationActionRegistryRemoval,Notification of a registry persistence removal remediation action attempted by the sensor.,Windows
RemediationActionScheduledTaskRemoval,Notification of a scheduled task persistence removal remediation action attempted by the sensor.,Windows
RemediationActionServiceRemoval,Notification of a service persistence removal remediation action attempted by the sensor.,Windows
RemediationMonitorKillProcess,Platforms: Windows Notification of a kill process remediation action that would have been attempted by the sensor but wasn't because the remediation was in monitor mode.,"Linux, macOS"
RemediationMonitorQuarantineFile,Notification of a quarantine file remediation action that would have been attempted by the sensor but wasn't because the remediation was in monitor mode.,Windows
RemediationMonitorRegistryRemoval,Notification of a registry persistence removal remediation action that would have been attempted by the sensor but wasn't because the remediation was in monitor mode.,Windows
RemediationMonitorScheduledTaskRemoval,Notification of a scheduled task persistence removal remediation action that would have been attempted by the sensor but wasn't because the remediation was in monitor mode.,Windows
RemediationMonitorServiceRemoval,Notification of a service persistence removal remediation action that would have been attempted by the sensor but wasn't because the remediation was in monitor mode.,Windows
RemoteBruteForceDetectInfo,An event that describes a remote brute force detection.,Windows
RemoteCommandResponse,,"Windows, macOS, Linux"
RemoteProcessMemoryRead,,Linux
RemoteProcessMemoryWrite,,Linux
RemoteThreadCreate,,macOS
RemovableDiskModuleLoadAttempt,An event that indicates that a process with a primary image that is not on a removable disk attempted to load a module from a removable disk.,Windows
RemovableMediaFileWritten,An event that is emitted for files written to removable media on Android devices.,Android
RemovableMediaVolumeMounted,This event provides information about a removable media volume that was just mounted.,"Windows, Android"
RemovableMediaVolumeUnmounted,An event that contains information about a removable media volume that was just unmounted.,Android
ResourceLimit,,Linux
ResourceUtilization,"Platforms: Linux, Falcon Container An event that contains CPU and RAM utilization data for a system. The event is sent when the sensor connects and every 15 minutes thereafter. Platforms: Windows An event that contains CPU and RAM utilization data for a system. The event is sent when the sensor connects, every 15 minutes thereafter, and in case any change in capacity is detected.","macOS, Kubernetes"
RootkitDetectionResponse,,Windows
RouteIP4,IPv4 Route entry.,Forensics
RouteIP6,IPv6 Route entry.,Forensics
RpmFileWritten,,"macOS, Windows, Linux"
RtfFileWritten,Emitted when a process is done writing an RTF file.,"Windows, macOS, Linux"
RuntimeEnvironmentVariable,"Environment Variable provided to a process; In the context of falcon forensics, this is an environment variable provided to the collector process itself.",Forensics
SafetyNetCheckFailed,An event that indicates the SafetyNet check could not be completed.,Android
SafetyNetCompatibilityStatus,An event that contains the SafetyNet compatibility status obtained via the Google SafetyNet API.,Android
SafetyNetVerifyAppsStatus,An event that contains information about the status of SafetyNet Verify Apps (Google Play Protect) on the device.,Android
SAMHashDumpFromUnsignedModule,This event contains information about an unsigned module that accessed protected SAM account registry keys. It combines relevant information from the RegNtPostOpenKeyEx and SignInfoWithCertAndContext events,Windows
ScheduledTaskDeleted,"This event is sent when Falcon has detected that a scheduled task has been removed from the machine. The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action. Note that the context here is not sufficient to determine full details on the task being removed (that is captured in ScheduledTaskRegistered), but does show the task name and originator info.",Windows
ScheduledTaskInfo,Scheduled windows tasks.,Forensics
ScheduledTaskModified,"Event sent when EAEP has determined a new scheduled task was modified to the local machine. The RPC data will be for the furthest 'hop' away in an RPC connection. For instance, the 'at' command is 2 levels away from the schdsvc service. RegPostObjectName is used for DFA enhancing other fields, and isn't part of this events cloudable definition.",Windows
ScheduledTaskRegistered,"This event is sent when Falcon detects that a scheduled task has been added to the machine, either locally or remotely. This includes things added via the at command (at.exe) or scheduled tasks (schtasks.exe). The data will indicate the initial process (command-line tool, custom utility, or GUI application) or remote address/hostname that resulted in this action. This service has multiple versions over time from Windows 7 to Windows 10, so some fields may not be available in all versions. The raw TaskXml will always be available, which should be a superset of the other ‘Task’ fields.",Windows
ScheduledTaskTamperingRegistryOperation,,Windows
ScheduledTaskTemplateDetectInfo,,Windows
ScreenshotTakenEtw,An event that indicates that partial or full screenshot has been taken. Captured using the ETW consumer.,Windows
ScriptControlBlocked,This event is sent when Falcon Host has blocked malicious script content from being executed on the machine. This event provides the details of exactly what content was blocked.,Windows
ScriptControlDetectInfo,This event is sent when Falcon has detected malicious script content being executed on the host. This event provides the details of exactly what content was detected.,"Windows, macOS, Linux, Falcon Container"
ScriptControlDetectInvalidInfo,,"macOS, Linux, Falcon Container"
ScriptControlDotNetMetadata,Contains the last 56kb of ScriptContent from a .NET AMSI scan.,Windows
ScriptControlErrorEvent,An event that contains telemetry data containing up to 56 KB ScriptContent field data from AMSI (AntiMalware Scan Interface) that has been deobfuscated.,Windows
ScriptControlScanInfo,,"Windows, Linux, Falcon Container, macOS"
ScriptControlScanTelemetry,,Windows
ScriptFileContentsDetectInfo,,Windows
ScriptFileWrittenInfo,,Windows
SecureTrafficDecrypted,An event that contains certificate info for the compromised network connection.,"Android, iOS"
SEHOverWriteAttempt,"An event that is emitted when a UserException event has failed a SEH (Structured Exception Handler) validation. The nature of the failure is described by the bitmask SEHValidationFailureFlags. Depending on the type of failure, ExceptionHandlerAddress field or ExceptionFrameAddress field may not be present.",Windows
SELinuxStatus,An event that contains info about the SELinus status.,Android
SensitiveWmiQuery,An event that indicates that a client process executed a sensitive WMI query.,Windows
SensorAntiTamperState,,Windows
SensorEnteredSafemode,,"Linux, Falcon Container, macOS, Windows"
SensorGroupingTagsUpdate,,"Windows, Android"
SensorHeartbeat,"Sent periodically to inform the cloud that the sensor is active. Platforms: Linux, Falcon Container Sent periodically to inform the cloud that the sensor is active. Platforms: ChromeOS, Windows Legacy, Vmcluster Platforms: Kubernetes","Windows, macOS, Android, iOS"
SensorMetadataUpdate,,Linux
SensorSelfDiagnosticAlert,,"Linux, Windows, macOS"
SensorSelfDiagnosticTelemetry,,"Windows, macOS, Linux"
SensorSettingsUpdate,,"Linux, Falcon Container, Windows, macOS, Kubernetes, Vmcluster"
SensorTampering,Thrown when a tampering event occurs on the sensor.,Linux
ServicesStatusInfo,Detailed information and status of a windows service. Platforms: Windows,Forensics
ServiceStarted,"This event is generated when a standalone service is started by the service control manager (SCM). ServiceDisplayName, TargetProcessId, ImageFileName and CommandLine are all for the new service. The data will indicate the initial process (command- line tool, custom utility, or GUI application) or remote address/host name that resulted in this action.",Windows
ServiceStopped,"This event is emitted when a standalone service is stopped by the service control manager (SCM). Unfortunately, the sensor is not currently capable of identifying who requested this operation. However, it can be used to confirm that this is a service stopping vs. a service crashing or being terminated.",Windows
SessionPatternTelemetry,,"macOS, Linux"
SetThreadCtxEtw,,Windows
SetWindowsHook,An event that is sent from the sensor when a user mode program attempts to set a windows hook.,Windows
SetWindowsHookExEtw,An event that indicates that an application called SetWinEventHookEx API. Captured using the ETW consumer.,Windows
SetWinEventHookEtw,An event that indicates that an application called the SetWinEventHook API. Captured using the ETW consumer.,Windows
SevenZipFileWritten,This event is generated when a 7ZIP file type (.7zip) is written to disk.,"macOS, Linux, Windows"
SharedObjectLoaded,,Linux
ShellBagFileTimeStampMetadata,One event is emitted per timestamp from a ShellBag registry entry.,Forensics
ShellBagInfo,Windows ShellBag MRU registry entry.,Forensics
ShellCommandLineInfo,,Linux
ShimDbTag,A tag entry in the Shim database.,Forensics
SignInfo,"Sent by FalconForensicsCollector containing information about the signing-state of an image. Platforms: macOS, Windows",Forensics
SignInfoWithCertAndContext,Sent by SignInfoActor as a response to the SignInfoRequestWithContext sent by the cloud. It contains information about the signing-state of an image.,"Windows, macOS"
SignInfoWithContext,Sent by SignInfoActor as a response to the SignInfoRequestWithContext sent by the cloud. It contains information about the signing-state of an image.,"macOS, Windows"
SigningIdentity,,iOS
SigningPublicKey,,"Android, iOS"
SldFileWritten,,Windows
SmbClientNamedPipeConnectEtw,An event that indicates when a machine connects to a remote SMB (Server Message Block) named pipe. The event contains the pattern id of the associated indicator and is supported on all Windows platform except 8.1 and Server 2012 R2. Captured using the ETW consumer.,Windows
SmbClientShareClosedEtw,An event that indicates when a machine disconnects from a remote share. This event is supported on all Windows platform except 8.1 and Server 2012 R2. Captured using the ETW consumer.,Windows
SmbClientShareLogonBruteForceLowThreshold,,Windows
SmbClientShareLogonBruteForceSuspected,,Windows
SmbClientShareOpenedEtw,An event that indicates when a machine connects to a remote share. This event is supported on all Windows platform except 8.1 and Server 2012 R2. Captured using the ETW consumer.,Windows
SmbServerLocalNamedPipeOpenedEtw,,Windows
SmbServerShareOpenedEtw,An event that indicates a remote machine opening a local share. This event is supported on all Windows platform except 8.1 and Server 2012 R2.,Windows
SmbServerV1AuditEtw,"An event that indicates that a client attempted to connect to this machine using the Server Message Block protocol, SMBv1. Captured using the ETW consumer.",Windows
SmtpAttachment,,Linux
SmtpCommand,,Linux
SmtpEmailMessage,,Windows
SnapshotVolumeMounted,Information about a snapshot volume that was just mounted.,Windows
SourceCodeFileWritten,,"Windows, macOS"
SpotlightEntityBatch,Single Event consisting of a list of Spotlight Entity State data packaged for optimal size and part of a larger set of batch events that will be processed in Cloud. Platforms: Linux,"Windows, macOS"
SpotlightEntityBatchHeader,Spotlight Batch header to indicate all required metadata of incoming batch along with information to deal with possibilities of dropped subsequent events. Platforms: Linux,"Windows, macOS"
SpotlightEntitySystemState,Spotlight Entity heart-beat event to notify cloud of current state with last synced batch and Channel file version information. Platforms: Linux,"Windows, macOS"
SpotlightSearchEntry,Per-user spotlight search information.,Forensics
SruApplicationResourceUsage,System Resource Utilization Monitor: application resource usage per user.,Forensics
SruApplicationTimelineProvider,System Resource Utilization Monitor: application resource usage timeline.,Forensics
SruNetworkConnectivityUsage,"System Resource Utilization Monitor: connection time per local network interface, application and user tuple.",Forensics
SruNetworkDataUsage,"System Resource Utilization Monitor: bytes sent/received per local network interface, application and user tuple.",Forensics
SSHClientAuthenticated,,Linux
SsoApplicationAccess,"Indicates successful access to an application through an SSO facilitator, which could be either an IDaaS directory, a federation portal, or a combination of both, such as Azure with AD-FS.",Public Cloud
SsoApplicationAccessFailure,"Indicates failed access to an application through an SSO facilitator, which could be either an IDaaS directory, a federation portal, or a combination of both, such as Azure with AD-FS.",Public Cloud
SsoUserLogon,"Indicates an initial, successful sign-in to an SSO facilitator, which could be either an IDaaS directory, a federation portal, or a combination of both, such as Azure with AD-FS.",Public Cloud
SsoUserLogonFailure,"Indicates an initial, failed sign-in to an SSO facilitator, which could be either an IDaaS directory, a federation portal, or a combination of both, such as Azure with AD-FS.",Public Cloud
StaticAnalysisContainerTelemetry,Cloudable event in response to a telemetry query for the static analysis containers.,Windows
StaticConfigurationError,,Linux
StorageEncryptionStatus,An event that contains information about the Device Storage encryption.,Android
SudoCommandAttempt,,macOS
SuperfetchAppInfo,Application entry from Windows Superfetch AgForegroundAppHistory.db.,Forensics
SuperfetchAppSchedule,Application running schedule/period recently updated from Windows Superfetch AgGlobalHistory.db.,Forensics
SuspectCreateThreadStack,This event is used to indicate that suspicious data has been discovered in the context of a CreateThread attempt.,Windows
SuspendProcessError,This event is emitted if KillProcessActor fails to suspend a process.,"macOS, Windows, Linux, Falcon Container"
SuspiciousAndroidActivityFound,An event that indicates that a currently installed application on the device has been found providing a suspicious Android Activity.,Android
SuspiciousAndroidLogcatMessageFound,An event that indicates that an application log message originating from a suspicious source has been found indicating the FalconMobile application might have been compromised and the device might have been rooted.,Android
SuspiciousAndroidStackTraceElementFound,An event that indicates that a hooking framework has been found via stacktrace analysis and that the FalconMobile application might have been compromised.,Android
SuspiciousAndroidSystemPropertyFound,An event that indicates that a suspicious system property has been found. This might indicate the OS Integrity has been tampered with which might mean the device has been rooted.,Android
SuspiciousAppFound,An event that indicates that a suspicious application has been found to be installed on the device.,Android
SuspiciousCreateSymbolicLink,An event that indicates the creation of a suspicious symbolic link.,Windows
SuspiciousCredentialModuleLoad,"An indicator event fired when suspicious credential module activity is detected, which means the process opened a handle to the LSASS process and loaded one of its DLLs for symbolic resolution of protected LSASS resources. The name of the DLL that was loaded is in the ImageFileName field This event also contains data from the offending application, whose name is stored in TargetFileName",Windows
SuspiciousDnsRequest,This event is generated when the sensor detects a suspicious DNS request. A request is suspicious if it is attempting to send a request to a domain found on the sensor’s list of suspicious domains.,"Windows, Linux, macOS"
SuspiciousEseFileWritten,This event indicates that a possible domain credential file (NTDS.dit) was copied from a volume snapshot.,Windows
SuspiciousLackOfProcessRollupEvents,This event is emitted if we don't see any ProcessRollup2 events for a long time.,Windows
SuspiciousPeFileWritten,A suspicious PE image file was written to disk.,Windows
SuspiciousPrivilegedProcessHandle,Indicates a process has opened a handle to a privileged process with special access rights.,Windows
SuspiciousRawDiskRead,This event indicates a process successfully read a target file using raw disk access.,Windows
SuspiciousRawDiskReadFromUnsignedModule,This event contains information about an unsigned module reading a target file using raw disk access. It combines relevant information from the SuspiciousRawDiskRead and SignInfoWithCertAndContext events.,Windows
SuspiciousRegAsepUpdate,An event that describes the registry activity that triggered a suspicious registry ASEP (Autostart Extension Point) detect.,Windows
SuspiciousUserFontLoad,Sent when a UserFontLoad event has been blocked by the sensor.,Windows
SuspiciousUserRemoteAPCAttempt,An event that indicates that a remote APC (Asynchronous Procedure Call) that is classified as potentially suspicious was queued on the target process by the context process.,Windows
SyntheticPR2Stats,,macOS
SyntheticProcessRollup2,"This event provides data similar to what is available in a ProcessRollup2. SyntheticProcessRollup2 events are generated for processes that started before the sensor does, such as during installation. Platforms: ChromeOS","Windows, Linux, Falcon Container, macOS"
SyntheticProcessTrace,,Linux
SyntheticSharedObjectLoaded,,Linux
SyntheticSystemdServiceCreated,,Linux
SyntheticSystemdTimerCreated,,Linux
SyntheticVirtualMemoryArea,,Linux
SyscacheEntry,An entry in windows syscache hive.,Forensics
SysConfigInfo,,"Linux, Falcon Container"
SystemCapacity,"An event that describes the CPU and RAM capacity of the system. The event is sent when the sensor connects, every 24 hours thereafter, and in case any change in capacity is detected. Platforms: Linux An event that describes the CPU and RAM capacity data for a system. The event is sent when the sensor connects, every 24 hours thereafter, and in case any change in capacity is detected.","Windows, macOS"
SystemdServiceCreated,,Linux
SystemdServiceDeleted,,Linux
SystemdServicePropertiesChanged,,Linux
SystemdTimerCreated,,Linux
SystemdTimerDeleted,,Linux
SystemdTimerPropertiesChanged,,Linux
SystemExtension,Describes a macOS system extension identified by the collector.,Forensics
SystemPartitionAltered,An event that indicates a system partition has been altered and is in an unexpected state.,iOS
